2025-10-22 12:03:00 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-10-22 12:03:10 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@473dabe9
2025-10-22 12:03:10 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-10-22 12:03:10 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-10-22 12:03:12 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-10-22 12:03:12 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-10-22 12:03:14 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-10-22 12:03:17 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-10-22 12:03:17 [restartedMain] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 14 endpoint(s) beneath base path '/actuator'
2025-10-22 12:03:17 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8084"]
2025-10-22 12:03:17 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8084 (http) with context path ''
2025-10-22 12:03:17 [restartedMain] INFO  c.t.d.DataprovideserviceApplication - Started DataprovideserviceApplication in 18.375 seconds (process running for 19.486)
2025-10-22 12:04:23 [http-nio-8084-exec-6] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-10-22 12:04:23 [http-nio-8084-exec-6] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-10-22 12:04:23 [http-nio-8084-exec-6] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2025-10-22 12:04:23 [http-nio-8084-exec-6] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.multipart.MultipartException: Current request is not a multipart request]
2025-10-22 12:12:12 [http-nio-8084-exec-7] INFO  c.t.d.c.ExcelUploadController - Processing Excel upload: Property_Upload_Template.xlsx by user: system
2025-10-22 12:12:13 [http-nio-8084-exec-7] INFO  c.t.d.service.ExcelUploadServiceImp - Started processExcelUpload() for file: Property_Upload_Template.xlsx by user: system
2025-10-22 12:12:13 [http-nio-8084-exec-7] INFO  c.t.d.s.ExcelProcessorServiceIml - Starting processExcelFile() with file: Property_Upload_Template.xlsx
2025-10-22 12:12:13 [http-nio-8084-exec-7] INFO  c.t.d.s.ExcelProcessorServiceIml - Uploaded file content type: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
2025-10-22 12:12:16 [http-nio-8084-exec-7] INFO  c.t.d.s.ExcelProcessorServiceIml - Workbook has 2 sheets
2025-10-22 12:12:16 [http-nio-8084-exec-7] INFO  c.t.d.s.ExcelProcessorServiceIml - Processing sheet: Sheet2
2025-10-22 12:12:16 [http-nio-8084-exec-7] INFO  c.t.d.s.ExcelProcessorServiceIml - Processing sheet: Sheet1
2025-10-22 12:12:16 [http-nio-8084-exec-7] DEBUG c.t.d.s.ExcelProcessorServiceIml - Processed row 1 successfully
2025-10-22 12:12:16 [http-nio-8084-exec-7] DEBUG c.t.d.s.ExcelProcessorServiceIml - Processed row 2 successfully
2025-10-22 12:12:16 [http-nio-8084-exec-7] INFO  c.t.d.s.ExcelProcessorServiceIml - Processed %d rows: %d success, %d failed, %d warnings
2025-10-22 12:12:16 [http-nio-8084-exec-7] INFO  c.t.d.s.ExcelProcessorServiceIml - Successfully processed 2 rows from file: Property_Upload_Template.xlsx
2025-10-22 12:12:16 [http-nio-8084-exec-7] INFO  c.t.d.s.ExcelProcessorServiceIml - Starting convertToProperty() for PropertyId: 101
2025-10-22 12:12:16 [http-nio-8084-exec-7] INFO  c.t.d.s.ExcelProcessorServiceIml - Completed convertToProperty() for PropertyId: 101
2025-10-22 12:12:16 [http-nio-8084-exec-7] INFO  c.t.d.service.ExcelUploadServiceImp - Converted property from row 2: Property(propertyId=101, propertyTitle=Delicate_Villa, description=A spacious 4-bedroom villa with private pool and sea view., propertyType=VILLA, addressLine1=123 Ocean Drive, city=Pune, state=MH, country=India, pincode=560001, latitude=15.2993, longitude=74.124, hostId=501, hostName=A  P, hostContact=8007341909, hostEmail=rajesh.kumar@example.com, basePrice=8500.0, currency=INR, amenities=[WiFi, Parking, Pool], imageUrl=https://rent4me.com/properties/101, status=PENDING, createdAt=2025-09-01T12:00, updatedAt=2025-10-22T12:12:16.618262600)
2025-10-22 12:12:16 [http-nio-8084-exec-7] INFO  c.t.d.service.ExcelUploadServiceImp - property data: Property(propertyId=101, propertyTitle=Delicate_Villa, description=A spacious 4-bedroom villa with private pool and sea view., propertyType=VILLA, addressLine1=123 Ocean Drive, city=Pune, state=MH, country=India, pincode=560001, latitude=15.2993, longitude=74.124, hostId=501, hostName=A  P, hostContact=8007341909, hostEmail=rajesh.kumar@example.com, basePrice=8500.0, currency=INR, amenities=[WiFi, Parking, Pool], imageUrl=https://rent4me.com/properties/101, status=PENDING, createdAt=2025-09-01T12:00, updatedAt=2025-10-22T12:12:16.618262600)
2025-10-22 12:13:46 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-10-22 12:13:46 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-10-22 12:13:46 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
